"State","Store_name","Street_add","City","Postcode","Xcoord","Ycoord","uuid"
"California","BevMo!","3455 Geary Blvd","San Francisco","94118","-122.455964","37.781349","67"
"California","BevMo!","201 Bayshore Blvd","San Francisco","94124","-122.403567","37.744887","10"
"California","BevMo!","1301 Van Ness Ave","San Francisco","94109","-122.422031","37.787700","53"
"California","BevMo!","2940 N Main St","Walnut Creek","94597","-122.060982","37.927944","54"
"California","BevMo!","760 Francisco Blvd W","San Rafael","94901","-122.511956","37.962172","55"
"California","BevMo!","836 San Pablo Ave","Albany","94706","-122.299413","37.891141","56"
"California","BevMo!","525 Embarcadero West","Oakland","94607","-122.279104","37.795911","57"
"California","BevMo!","14800 Camden Avenue","San Jose","95124","-121.928484","37.261526","58"
"California","BevMo!","3149 Stevens Creek Blvd","Santa Clara","95117","-121.952192","37.323860","59"
"California","BevMo!","2090 Santa Rosa Ave.","Santa Rosa","95407","-122.711510","38.417293","60"
"California","BevMo!","4700 El Camino Real","Los Altos","94022","-122.112172","37.399923","61"
"California","BevMo!","3106 Arden Way","Sacramento","95825","-121.391866","38.595216","62"
"California","BevMo!","212 N. El Camino Real","Encinitas","92024","-117.261706","33.048957","63"
"California","BevMo!","11475 Carmel Mountain Rd.","San Diego","92128","-117.084273","32.978043","64"
"California","BevMo!","8410 Center Drive","La Mesa","91942","-117.016111","32.777472","65"
"California","BevMo!","5765 Johnson Drive","Pleasanton","94588","-121.906825","37.699260","66"
"California","BevMo!","7929 Greenback Lane","Citrus Heights","95610","-121.270233","38.679814","80"
"California","BevMo!","4915 Junipero Serra Blvd.","Colma","94014","-122.466637","37.674218","82"
"California","BevMo!","342 E. Hillsdale Blvd.","San Mateo","94403","-122.289765","37.541781","83"
"California","BevMo!","6 Camino Pablo","Orinda","94563","-122.181146","37.877837","84"
"California","BevMo!","155 Diablo Road","Danville","94526","-121.999617","37.822832","85"
"California","BevMo!","15315 Culver Dr #190","Irvine","92604","-117.800695","33.696903","86"
"California","BevMo!","755 East Birch Street","Brea","92821","-117.888919","33.919007","87"
"California","BevMo!","2000 North Tustin Street","Orange","92865","-117.836365","33.821370","88"
"California","BevMo!","9160 W. Stockton Blvd.","Elk Grove","95758","-121.402298","38.423723","89"
"California","BevMo!","1745 El Camino Real","Redwood City","94063","-122.225086","37.479002","90"
"California","BevMo!","7639 N. Blackstone Avenue","Fresno","93720","-119.791669","36.846514","91"
"California","BevMo!","925A Camino de la Reina","San Diego","92108","-117.155011","32.767568","92"
"California","BevMo!","16672 Beach Blvd, Suite K","Huntington Beach","92647","-117.987688","33.719808","93"
"California","BevMo!","5820 Sepulveda Blvd.","Van Nuys","91411","-118.465654","34.176453","94"
"California","BevMo!","111 South Westlake Blvd.","Thousand Oaks","91362","-118.824636","34.160453","95"
"California","BevMo!","6520 Canoga Avenue, Space D","Canoga Park","91303","-118.595371","34.188988","96"
"California","BevMo!","1210 Great Mall Drive","Milpitas","95035","-121.898607","37.414564","97"
"California","BevMo!","5859C Lone Tree Way","Antioch","94531","-121.734979","37.962488","98"
"California","BevMo!","7100 Santa Monica Blvd.","West Hollywood","90046","-118.345191","34.090427","99"
"California","BevMo!","26946 The Old Road","Valencia","91381","-118.578304","34.410441","101"
"California","BevMo!","10333 Fairway Drive, Suite D","Roseville","95678","-121.283796","38.788678","102"
"California","BevMo!","3900 Sisk Road, Suite R","Modesto","95356","-121.063315","37.692355","103"
"California","BevMo!","12945 Peyton Drive","Chino Hills","91709","-117.744755","34.017291","104"
"California","BevMo!","27588 W. Lugonia Avenue, Suite A","Redlands","92374","-117.202390","34.071178","105"
"California","BevMo!","6855 Camino Arroyo","Gilroy","95020","-121.552234","37.002192","106"
"California","BevMo!","844 Pearl Street","La Jolla","92037","-117.274096","32.840355","107"
"California","BevMo!","885 S. Arroyo Parkway","Pasadena","91105","-118.147471","34.130600","108"
"California","BevMo!","12204 Foothill Blvd.","Rancho Cucamonga","91739","-117.539192","34.107569","109"
"California","BevMo!","104 Vintage Way","Novato","94945","-122.554376","38.092169","110"
"California","BevMo!","28011 Greenfield Drive, Sts A-D","Laguna Niguel","92677","-117.687584","33.556233","111"
"California","BevMo!","5171 Mowry Avenue","Fremont","94538","-121.999952","37.535707","112"
"California","BevMo!","21301 Hawthorne Blvd.","Torrance","90503","-118.354573","33.836496","113"
"California","BevMo!","405 Cochran Street","Simi Valley","93065","-118.790024","34.281633","114"
"California","BevMo!","1835 Newport Blvd., Sts B-129","Costa Mesa","92627","-117.920424","33.642710","115"
"California","BevMo!","2500 Vista Way","Oceanside","92054","-117.333390","33.183974","116"
"California","BevMo!","6393 N. Pacific Avenue","Stockton","95207","-121.320147","38.007830","117"
"California","BevMo!","1220 Fitzgerald Drive","Pinole","94564","-122.313131","37.984738","118"
"California","BevMo!","2595 Iron Point Road","Folsom","95630","-121.115706","38.646991","119"
"California","BevMo!","39672 Winchester Road","Temecula","92591","-117.141630","33.540271","120"
"California","BevMo!","3678 North Freeway Blvd.","Sacramento","95834","-121.496629","38.637361","121"
"California","BevMo!","1621 D East Monte Vista Avenue","Vacaville","95688","-121.964201","38.368339","122"
"California","BevMo!","1133 Lincoln Avenue","San Jose","95125","-121.900991","37.307669","123"
"California","BevMo!","1247 W. El Camino Real","Sunnyvale","94087","-122.057294","37.374734","124"
"California","BevMo!","6820 Katella Avenue","Cypress","90630","-118.013989","33.801836","125"
"California","BevMo!","2220 Oak Grove Road","Walnut Creek","94598","-122.015760","37.930536","126"
"California","BevMo!","1502 Froom Ranch Way","San Luis Obispo","93405","-120.688608","35.252522","127"
"Arizona","BevMo!","7230 West Ray Road, Suite 4","Chandler","85226","-111.967870","33.321450","128"
"California","BevMo!","168 S. Solana Hills Drive","Solana Beach","92075","-117.257940","32.994625","129"
"California","BevMo!","1397 E. Gladstone Street","Glendora","91740","-117.834874","34.114804","130"
"California","BevMo!","39626 10th Street, Suite D","Palmdale","93551","-118.145921","34.602816","131"
"California","BevMo!","1282 El Camino Real","San Bruno","94066","-122.420500","37.637829","132"
"California","BevMo!","6477 Pat's Ranch Rd.","Mira Loma","91752","-117.544723","33.972908","133"
"California","BevMo!","3643 Grand Oaks","Corona","92881","-117.512310","33.824850","134"
"California","BevMo!","6521 East Pacific Coast Highway","Long Beach","90803","-118.107871","33.757211","135"
"California","BevMo!","3218 Countryside Drive","Turlock","95380","-120.880152","37.523043","136"
